id,buggy,fixed,pair,label
patch1-Math-6-Cardumen.patch,return iterations.getCount();,return evaluations.getCount();,return iterations.getCount();<EOS>return evaluations.getCount();,1
patch2-Math-6-Cardumen.patch,return iterations.getCount();,return evaluations.getMaximalCount();,return iterations.getCount();<EOS>return evaluations.getMaximalCount();,1
patch1-Math-8-Cardumen.patch,for (int i = 0; i < sampleSize; i++) {,for (int i = 0; (singletons.get(sampleSize)) == null; i++) {,for (int i = 0; i < sampleSize; i++) {<EOS>for (int i = 0; (singletons.get(sampleSize)) == null; i++) {,1
patch2-Math-8-Cardumen.patch,for (int i = 0; i < sampleSize; i++) {,for (int i = 0; sampleSize <= 0; i++) {,for (int i = 0; i < sampleSize; i++) {<EOS>for (int i = 0; sampleSize <= 0; i++) {,1
patch3-Math-8-Cardumen.patch,for (int i = 0; i < sampleSize; i++) {,for (int i = 0; sampleSize < sampleSize; i++) {,for (int i = 0; i < sampleSize; i++) {<EOS>for (int i = 0; sampleSize < sampleSize; i++) {,1
patch4-Math-8-Cardumen.patch,for (int i = 0; i < sampleSize; i++) {,for (int i = 0; (probabilities[0]) != 0.0; i++) {,for (int i = 0; i < sampleSize; i++) {<EOS>for (int i = 0; (probabilities[0]) != 0.0; i++) {,1
patch5-Math-8-Cardumen.patch,for (int i = 0; i < sampleSize; i++) {,for (int i = 0; sampleSize > 1; i++) {,for (int i = 0; i < sampleSize; i++) {<EOS>for (int i = 0; sampleSize > 1; i++) {,1
patch1-Math-20-Cardumen.patch,for (int i = 0; i < x.length; i++) {,for (int i = 0; (valueRange) > (valueRange); i++) {,for (int i = 0; i < x.length; i++) {<EOS>for (int i = 0; (valueRange) > (valueRange); i++) {,1
patch2-Math-20-Cardumen.patch,if (boundaries == null) {,if (x != null) {,if (boundaries == null) {<EOS>if (x != null) {,1
patch3-Math-20-Cardumen.patch,for (int i = 0; i < x.length; i++) {,for (int i = 0; res == null; i++) {,for (int i = 0; i < x.length; i++) {<EOS>for (int i = 0; res == null; i++) {,1
patch4-Math-20-Cardumen.patch,if (boundaries == null) {,"if (((java.lang.Math.max(valueRange, valueRange)) - (java.lang.Math.min(valueRange, valueRange))) < (valueRange)) {","if (boundaries == null) {<EOS>if (((java.lang.Math.max(valueRange, valueRange)) - (java.lang.Math.min(valueRange, valueRange))) < (valueRange)) {",1
patch5-Math-20-Cardumen.patch,if (boundaries == null) {,"if (((java.lang.Math.max(valueRange, valueRange)) - (java.lang.Math.min(valueRange, valueRange))) == 0) {","if (boundaries == null) {<EOS>if (((java.lang.Math.max(valueRange, valueRange)) - (java.lang.Math.min(valueRange, valueRange))) == 0) {",1
patch1-Math-30-Cardumen.patch,if (FastMath.abs(dev) > 40 * standardDeviation) {,if ((java.lang.Double.isNaN(SQRT2PI)) || (java.lang.Double.isNaN(x))) {,if (FastMath.abs(dev) > 40 * standardDeviation) {<EOS>if ((java.lang.Double.isNaN(SQRT2PI)) || (java.lang.Double.isNaN(x))) {,1
patch2-Math-30-Cardumen.patch,if (FastMath.abs(dev) > 40 * standardDeviation) {,if (x != x) {,if (FastMath.abs(dev) > 40 * standardDeviation) {<EOS>if (x != x) {,1
patch3-Math-30-Cardumen.patch,if (FastMath.abs(dev) > 40 * standardDeviation) {,if ((java.lang.Double.isNaN(mean)) || (java.lang.Double.isNaN(dev))) {,if (FastMath.abs(dev) > 40 * standardDeviation) {<EOS>if ((java.lang.Double.isNaN(mean)) || (java.lang.Double.isNaN(dev))) {,1
patch4-Math-30-Cardumen.patch,if (FastMath.abs(dev) > 40 * standardDeviation) {,if ((java.lang.Double.isNaN(SQRT2PI)) || (java.lang.Double.isNaN(dev))) {,if (FastMath.abs(dev) > 40 * standardDeviation) {<EOS>if ((java.lang.Double.isNaN(SQRT2PI)) || (java.lang.Double.isNaN(dev))) {,1
patch5-Math-30-Cardumen.patch,if (FastMath.abs(dev) > 40 * standardDeviation) {,if (java.lang.Double.isNaN(dev)) {,if (FastMath.abs(dev) > 40 * standardDeviation) {<EOS>if (java.lang.Double.isNaN(dev)) {,1
patch1-Math-32-Cardumen.patch,double inverse  = 1 / FastMath.sqrt(x * x + z * z);,double inverse = (x) * (x);,double inverse  = 1 / FastMath.sqrt(x * x + z * z);<EOS>double inverse = (x) * (x);,1
patch2-Math-32-Cardumen.patch,double inverse  = 1 / FastMath.sqrt(x * x + z * z);,"double inverse = org.apache.commons.math3.util.FastMath.max(x, x);","double inverse  = 1 / FastMath.sqrt(x * x + z * z);<EOS>double inverse = org.apache.commons.math3.util.FastMath.max(x, x);",1
patch1-Math-33-Cardumen.patch,"if (Precision.compareTo(entry, 0d, maxUlps) > 0) {",if (entry >= (((1.5 * (epsilon)) * (epsilon)) - (org.apache.commons.math3.util.FastMath.abs((entry * (epsilon)))))) {,"if (Precision.compareTo(entry, 0d, maxUlps) > 0) {<EOS>if (entry >= (((1.5 * (epsilon)) * (epsilon)) - (org.apache.commons.math3.util.FastMath.abs((entry * (epsilon)))))) {",1
patch1-Math-40-Cardumen.patch,if (signChangeIndex - start >= end - signChangeIndex) {,if (2.0 >= (end - signChangeIndex)) {,if (signChangeIndex - start >= end - signChangeIndex) {<EOS>if (2.0 >= (end - signChangeIndex)) {,1
patch3-Math-40-Cardumen.patch,"System.arraycopy(x, start, x, 0, nbPoints);","java.lang.System.arraycopy(x, 1, x, 0, signChangeIndex);","System.arraycopy(x, start, x, 0, nbPoints);<EOS>java.lang.System.arraycopy(x, 1, x, 0, signChangeIndex);",1
patch5-Math-40-Cardumen.patch,for (int j = end - 1; j >= start; --j) {,for (int j = (maximalOrder) - 1; j >= start; --j) {,for (int j = end - 1; j >= start; --j) {<EOS>for (int j = (maximalOrder) - 1; j >= start; --j) {,1
patch1-Math-41-Cardumen.patch,} else if (length > 1) {,} else if ((length & 2) != 0) {,} else if (length > 1) {<EOS>} else if ((length & 2) != 0) {,1
patch2-Math-41-Cardumen.patch,} else if (length > 1) {,} else if ((length & 1) == 0) {,} else if (length > 1) {<EOS>} else if ((length & 1) == 0) {,1
patch3-Math-41-Cardumen.patch,if (length == 1) {,if ((length == 5) && (length != 0)) {,if (length == 1) {<EOS>if ((length == 5) && (length != 0)) {,1
patch4-Math-41-Cardumen.patch,if (length == 1) {,if (mean >= length) {,if (length == 1) {<EOS>if (mean >= length) {,1
patch1-Math-49-Cardumen.patch,if (!isDefaultValue(value)) {,if (!(entries.containsKey(virtualSize))) {,if (!isDefaultValue(value)) {<EOS>if (!(entries.containsKey(virtualSize))) {,1
patch3-Math-49-Cardumen.patch,if (!isDefaultValue(value)) {,if (!((entries) instanceof org.apache.commons.math.linear.RealVector)) {,if (!isDefaultValue(value)) {<EOS>if (!((entries) instanceof org.apache.commons.math.linear.RealVector)) {,1
patch4-Math-49-Cardumen.patch,if (!isDefaultValue(value)) {,if (!(isDefaultValue(epsilon))) {,if (!isDefaultValue(value)) {<EOS>if (!(isDefaultValue(epsilon))) {,1
patch1-Math-50-Cardumen.patch,if (x == x1) {,if ((org.apache.commons.math.util.FastMath.abs(f1)) <= ftol) {,if (x == x1) {<EOS>if ((org.apache.commons.math.util.FastMath.abs(f1)) <= ftol) {,1
patch2-Math-50-Cardumen.patch,if (x == x1) {,if (f0 < f1) {,if (x == x1) {<EOS>if (f0 < f1) {,1
patch3-Math-50-Cardumen.patch,if (x == x1) {,if (((x1 >= 0) && (x <= 0)) || ((x1 <= 0) && (x >= 0))) {,if (x == x1) {<EOS>if (((x1 >= 0) && (x <= 0)) || ((x1 <= 0) && (x >= 0))) {,1
patch1-Math-69-Cardumen.patch,if (x == 0.0) {,if ((degreesOfFreedom) > 100) {,if (x == 0.0) {<EOS>if ((degreesOfFreedom) > 100) {,1
patch2-Math-69-Cardumen.patch,if (x == 0.0) {,if (((degreesOfFreedom) > 100) || ((degreesOfFreedom) <= 0)) {,if (x == 0.0) {<EOS>if (((degreesOfFreedom) > 100) || ((degreesOfFreedom) <= 0)) {,1
patch2-Math-70-Cardumen.patch,"return solve(min, max);","return solve(f, defaultAbsoluteAccuracy, max);","return solve(min, max);<EOS>return solve(f, defaultAbsoluteAccuracy, max);",1
patch3-Math-70-Cardumen.patch,"return solve(min, max);","return solve(f, functionValueAccuracy, max);","return solve(min, max);<EOS>return solve(f, functionValueAccuracy, max);",1
patch4-Math-70-Cardumen.patch,"return solve(min, max);","return solve(f, defaultFunctionValueAccuracy, max);","return solve(min, max);<EOS>return solve(f, defaultFunctionValueAccuracy, max);",1
patch5-Math-70-Cardumen.patch,"return solve(min, max);","return solve(f, absoluteAccuracy, max);","return solve(min, max);<EOS>return solve(f, absoluteAccuracy, max);",1
patch1-Math-73-Cardumen.patch,"return solve(f, min, yMin, max, yMax, initial, yInitial);","return solve(min, min);","return solve(f, min, yMin, max, yMax, initial, yInitial);<EOS>return solve(min, min);",1
patch2-Math-73-Cardumen.patch,"return solve(f, min, yMin, max, yMax, initial, yInitial);","return solve(max, max);","return solve(f, min, yMin, max, yMax, initial, yInitial);<EOS>return solve(max, max);",1
patch3-Math-73-Cardumen.patch,"return solve(f, min, yMin, max, yMax, initial, yInitial);","return solve(functionValueAccuracy, functionValueAccuracy);","return solve(f, min, yMin, max, yMax, initial, yInitial);<EOS>return solve(functionValueAccuracy, functionValueAccuracy);",1
patch4-Math-73-Cardumen.patch,"return solve(f, min, yMin, max, yMax, initial, yInitial);","return solve(yMin, yMin);","return solve(f, min, yMin, max, yMax, initial, yInitial);<EOS>return solve(yMin, yMin);",1
patch5-Math-73-Cardumen.patch,"return solve(f, min, yMin, max, yMax, initial, yInitial);","return solve(initial, initial);","return solve(f, min, yMin, max, yMax, initial, yInitial);<EOS>return solve(initial, initial);",1
patch1-Math-78-Cardumen.patch,oldDelta = delta;,y1 = y1 + (0.5 * y1);,oldDelta = delta;<EOS>y1 = y1 + (0.5 * y1);,1
patch1-Math-80-Cardumen.patch,for (int i = 0; i < j; i += 4) {,for (int i = 0; (((org.apache.commons.math.util.MathUtils.SAFE_MIN) * (work[(n + 2)])) < (work[(n - 3)])) && (((org.apache.commons.math.util.MathUtils.SAFE_MIN) * (work[(n - 3)])) < (work[(n + 2)])); i += 4) {,for (int i = 0; i < j; i += 4) {<EOS>for (int i = 0; (((org.apache.commons.math.util.MathUtils.SAFE_MIN) * (work[(n + 2)])) < (work[(n - 3)])) && (((org.apache.commons.math.util.MathUtils.SAFE_MIN) * (work[(n - 3)])) < (work[(n + 2)])); i += 4) {,1
patch2-Math-80-Cardumen.patch,for (int k = 0; k < 4; k += step) {,for (int k = 0; j == ((pingPong) - 2); k += step) {,for (int k = 0; k < 4; k += step) {<EOS>for (int k = 0; j == ((pingPong) - 2); k += step) {,1
patch3-Math-80-Cardumen.patch,for (int i = 0; i < j; i += 4) {,for (int i = 0; (dN) != 0.0; i += 4) {,for (int i = 0; i < j; i += 4) {<EOS>for (int i = 0; (dN) != 0.0; i += 4) {,1
patch4-Math-80-Cardumen.patch,for (int k = 0; k < 4; k += step) {,for (int k = 0; ((((dMin) < 0.0) && ((dMin1) > 0.0)) && ((work[(((4 * j) - 5) - (pingPong))]) < ((org.apache.commons.math.linear.EigenDecompositionImpl.TOLERANCE) * ((sigma) + (dN1))))) && ((java.lang.Math.abs(dN)) < ((org.apache.commons.math.linear.EigenDecompositionImpl.TOLERANCE) * (sigma))); k += step) {,for (int k = 0; k < 4; k += step) {<EOS>for (int k = 0; ((((dMin) < 0.0) && ((dMin1) > 0.0)) && ((work[(((4 * j) - 5) - (pingPong))]) < ((org.apache.commons.math.linear.EigenDecompositionImpl.TOLERANCE) * ((sigma) + (dN1))))) && ((java.lang.Math.abs(dN)) < ((org.apache.commons.math.linear.EigenDecompositionImpl.TOLERANCE) * (sigma))); k += step) {,1
patch5-Math-80-Cardumen.patch,for (int k = 0; k < 4; k += step) {,for (int k = 0; (tType) > 0; k += step) {,for (int k = 0; k < 4; k += step) {<EOS>for (int k = 0; (tType) > 0; k += step) {,1
patch1-Math-81-Cardumen.patch,if (end - start > 2) {,if (deflated > (pingPong)) {,if (end - start > 2) {<EOS>if (deflated > (pingPong)) {,1
patch2-Math-81-Cardumen.patch,if (work[np - 8] > b2 || work[np - 4] > b1) {,if ((tType) < end) {,if (work[np - 8] > b2 || work[np - 4] > b1) {<EOS>if ((tType) < end) {,1
patch3-Math-81-Cardumen.patch,if (dMin1 == dN1 && dMin2 == dN2) {,if ((transformer) == null) {,if (dMin1 == dN1 && dMin2 == dN2) {<EOS>if ((transformer) == null) {,1
patch4-Math-81-Cardumen.patch,if (dMin1 == dN1 && dMin2 == dN2) {,if ((dN2) > 0.0) {,if (dMin1 == dN1 && dMin2 == dN2) {<EOS>if ((dN2) > 0.0) {,1
patch5-Math-81-Cardumen.patch,if (end - start > 2) {,if (nn < (4 * (end - 3))) {,if (end - start > 2) {<EOS>if (nn < (4 * (end - 3))) {,1
patch1-Math-85-Cardumen.patch,if (fa * fb >= 0.0 ) {,if (maximumIterations <= 0) {,if (fa * fb >= 0.0 ) {<EOS>if (maximumIterations <= 0) {,1
patch2-Math-85-Cardumen.patch,if (fa * fb >= 0.0 ) {,if (initial > upperBound) {,if (fa * fb >= 0.0 ) {<EOS>if (initial > upperBound) {,1
patch3-Math-85-Cardumen.patch,if (fa * fb >= 0.0 ) {,if ((initial < lowerBound) || (initial > upperBound)) {,if (fa * fb >= 0.0 ) {<EOS>if ((initial < lowerBound) || (initial > upperBound)) {,1
patch4-Math-85-Cardumen.patch,if (fa * fb >= 0.0 ) {,if ((((fa * fb) > 0.0) && (numIterations < maximumIterations)) && ((a > lowerBound) || (b < upperBound))) {,if (fa * fb >= 0.0 ) {<EOS>if ((((fa * fb) > 0.0) && (numIterations < maximumIterations)) && ((a > lowerBound) || (b < upperBound))) {,1
patch5-Math-85-Cardumen.patch,if (fa * fb >= 0.0 ) {,if (((initial < lowerBound) || (initial > upperBound)) || (lowerBound >= upperBound)) {,if (fa * fb >= 0.0 ) {<EOS>if (((initial < lowerBound) || (initial > upperBound)) || (lowerBound >= upperBound)) {,1
patch-Math-2-reference.patch,return (double) (getSampleSize() * getNumberOfSuccesses()) / (double) getPopulationSize();,return getSampleSize() * (getNumberOfSuccesses() / (double) getPopulationSize());,return (double) (getSampleSize() * getNumberOfSuccesses()) / (double) getPopulationSize();<EOS>return getSampleSize() * (getNumberOfSuccesses() / (double) getPopulationSize());,0
patch-Math-5-reference.patch,return NaN;,return INF;,return NaN;<EOS>return INF;,0
patch-Math-6-reference.patch,"iterations = new Incrementor(0, new MaxIterCallback());","iterations = new Incrementor(Integer.MAX_VALUE, new MaxIterCallback());","iterations = new Incrementor(0, new MaxIterCallback());<EOS>iterations = new Incrementor(Integer.MAX_VALUE, new MaxIterCallback());",0
patch-Math-11-reference.patch,"return FastMath.pow(2 * FastMath.PI, -dim / 2) *","return FastMath.pow(2 * FastMath.PI, -0.5 * dim) *","return FastMath.pow(2 * FastMath.PI, -dim / 2) *<EOS>return FastMath.pow(2 * FastMath.PI, -0.5 * dim) *",0
patch-Math-26-reference.patch,if (a0 > overflow) {,if (FastMath.abs(a0) > overflow) {,if (a0 > overflow) {<EOS>if (FastMath.abs(a0) > overflow) {,0
patch-Math-2-reference.patch,return multiply(100).doubleValue();,return 100 * doubleValue();,return multiply(100).doubleValue();<EOS>return 100 * doubleValue();,0
patch-Math-2-reference.patch,if ((Boolean) tree.getAttribute()) {,if (tree.getCut() == null && (Boolean) tree.getAttribute()) {,if ((Boolean) tree.getAttribute()) {<EOS>if (tree.getCut() == null && (Boolean) tree.getAttribute()) {,0
patch-Math-2-reference.patch,for (int i = 0; i < weights.length; i++) {,for (int i = begin; i < begin + length; i++) {,for (int i = 0; i < weights.length; i++) {<EOS>for (int i = begin; i < begin + length; i++) {,0
patch-Math-2-reference.patch,Iterator iter = res.entries.iterator();,Iterator iter = entries.iterator();,Iterator iter = res.entries.iterator();<EOS>Iterator iter = entries.iterator();,0
patch-Math-2-reference.patch,"return optimize(f, goal, min, max, 0);","return optimize(f, goal, min, max, min + 0.5 * (max - min));","return optimize(f, goal, min, max, 0);<EOS>return optimize(f, goal, min, max, min + 0.5 * (max - min));",0
patch-Math-2-reference.patch,out[i][j] = 2 * (1 - tDistribution.cumulativeProbability(t));,out[i][j] = 2 * tDistribution.cumulativeProbability(-t);,out[i][j] = 2 * (1 - tDistribution.cumulativeProbability(t));<EOS>out[i][j] = 2 * tDistribution.cumulativeProbability(-t);,0
patch-Math-2-reference.patch," max += Math.max(max, Math.abs(a));","max = Math.max(max, Math.abs(a));"," max += Math.max(max, Math.abs(a));<EOS>max = Math.max(max, Math.abs(a));",0
patch-Math-91-reference.patch,double nOd = doubleValue();,long nOd = ((long) numerator) * object.denominator;,double nOd = doubleValue();<EOS>long nOd = ((long) numerator) * object.denominator;,0
patch-Math-94-reference.patch, if (u * v == 0) {,if ((u == 0) || (v == 0)) {, if (u * v == 0) {<EOS>if ((u == 0) || (v == 0)) {,0
patch-Math-98-reference.patch,final BigDecimal[] out = new BigDecimal[v.length];,final BigDecimal[] out = new BigDecimal[nRows];,final BigDecimal[] out = new BigDecimal[v.length];<EOS>final BigDecimal[] out = new BigDecimal[nRows];,0
patch-Math-104-reference.patch,private static final double DEFAULT_EPSILON = 10e-9;,private static final double DEFAULT_EPSILON = 10e-15;,private static final double DEFAULT_EPSILON = 10e-9;<EOS>private static final double DEFAULT_EPSILON = 10e-15;,0
patch-Math-105-reference.patch, return sumYY - sumXY * sumXY / sumXX;,"return Math.max(0d, sumYY - sumXY * sumXY / sumXX);"," return sumYY - sumXY * sumXY / sumXX;<EOS>return Math.max(0d, sumYY - sumXY * sumXY / sumXX);",0
